frame_id,timestamp_s,ego_x,ego_y,ego_psi,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_scan_sec,memory_rss_mb
180,18.0,1010.71637323834,1001.9031635692584,1.7655697404153095,11,6,24,241,0,0,4.7100002120714635e-05,2282.55859375
181,18.1,1010.6023856510207,1002.4307919346511,1.8015583999753104,11,5,20,241,0,0,4.8800000513438135e-05,2282.55859375
182,18.2,1010.4694873342424,1002.9539772741125,1.8375470595353096,11,6,24,241,0,0,4.629999602911994e-05,2282.55859375
183,18.3,1010.3178503971508,1003.4720420396962,1.8735357190953097,11,6,24,241,12,0,4.749999789055437e-05,2282.55859375
184,18.4,1010.1476712162256,1003.9843153148233,1.9095243786553089,11,5,20,241,0,0,6.800000119255856e-05,2282.55859375
185,18.5,1009.9591701809653,1004.4901336831491,1.9455130382153099,11,5,20,241,0,0,4.6799999836366624e-05,2282.55859375
186,18.6,1009.752591408473,1004.9888420877157,1.9815016977753102,11,5,20,241,0,0,4.510000144364312e-05,2282.55859375
187,18.7,1009.5282024273134,1005.4797946792804,2.0174903573353093,11,4,16,241,0,0,4.5000000682193786e-05,2282.55859375
188,18.8,1009.2862938310526,1005.962355652718,2.0534790168953103,11,4,16,241,0,0,6.10999995842576e-05,2282.55859375
189,18.9,1009.0271789019258,1006.4359000704164,2.0894676764553095,11,4,16,241,2,0,4.720000288216397e-05,2282.55859375
190,19.0,1008.7511932051235,1006.8998146715991,2.1254563360153096,11,4,16,241,0,0,4.44999968749471e-05,2282.55859375
191,19.1,1008.4586941542199,1007.3534986665233,2.16144499557531,10,3,12,241,0,0,5.149999924469739e-05,2282.55859375
192,19.2,1008.1500605483066,1007.7963645145301,2.1974336551353097,11,5,20,241,0,0,4.61999952676706e-05,2282.55859375
193,19.3,1007.8256920814309,1008.227838684935,2.23342231469531,10,2,8,241,0,0,4.310000076657161e-05,2282.55859375
194,19.4,1007.486008824975,1008.6473623997753,2.269410974255309,11,6,24,241,0,0,4.669999907491729e-05,2282.55859375
195,19.5,1007.1314506836446,1009.0543923574519,2.3053996338153095,11,3,12,241,54,0,4.389999958220869e-05,2282.55859375
196,19.6,1006.7624768257737,1009.448401436329,2.34138829337531,11,4,16,241,0,0,5.94000011915341e-05,2282.55859375
197,19.7,1006.3795650886806,1009.8288793773798,2.3773769529353093,11,2,8,241,0,0,4.2100000428035855e-05,2282.55859375
198,19.8,1005.9832113598484,1010.1953334449936,2.4133656124953102,11,5,20,241,0,0,4.569999873638153e-05,2282.55859375
199,19.9,1005.5739289347287,1010.5472890650908,2.449354272055309,10,2,8,241,0,0,4.4699998397845775e-05,2282.55859375
200,20.0,1005.1522478520012,1010.8842904397166,2.4853429316153095,10,4,16,241,0,0,4.2800005758181214e-05,2282.55859375
201,20.1,1004.718714207151,1011.2059011373198,2.52133159117531,10,2,8,241,0,0,4.3199994252063334e-05,2282.55859375
202,20.2,1004.2738894452505,1011.5117046579502,2.5573202507353097,10,4,16,241,0,0,4.369999805931002e-05,2282.55859375
203,20.3,1003.8183496338635,1011.8013049726451,2.5933089102953097,10,1,4,241,0,0,4.739999712910503e-05,2282.55859375
204,20.4,1003.3526847170127,1012.0743270363032,2.6292975698553085,10,4,16,241,0,0,6.730000313837081e-05,2282.55859375
205,20.5,1002.877497751176,1012.3304172733854,2.66528622941531,10,1,4,241,0,0,4.320000152802095e-05,2282.55859375
206,20.6,1002.3934041243023,1012.5692440358097,2.70127488897531,10,7,28,241,0,0,4.489999992074445e-05,2282.55859375
207,20.7,1001.9010307588567,1012.7904980324507,2.737263548535309,10,2,8,241,0,0,4.1600003896746784e-05,2282.55859375
208,20.8,1001.4010152999289,1012.9938927296852,2.77325220809531,10,4,16,241,0,0,4.529999569058418e-05,2282.55859375
209,20.9,1000.8940052894544,1013.1791647224649,2.8092408676553093,10,2,8,241,0,0,5.610000516753644e-05,2282.55859375
