frame_id,timestamp_s,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_build_sec,time_total_sec,memory_rss_mb,engine
152,15.2,9,9,36,241,8676,68,0.000112900001113303,0.008388800000830088,2297.12109375,vanilla
153,15.3,9,9,36,241,8676,69,0.000145800004247576,0.008156100004271138,2297.12109375,vanilla
154,15.4,9,9,36,241,8676,75,0.00014139999984763563,0.008206099999370053,2297.125,vanilla
155,15.5,10,10,40,241,9640,84,0.0001523000028100796,0.008954999997513369,2297.15234375,vanilla
156,15.6,10,10,40,241,9640,87,0.0001277999981539324,0.008992899995064363,2297.16015625,vanilla
157,15.7,10,10,40,241,9640,91,0.00012260000221431255,0.009077300004719291,2297.171875,vanilla
158,15.8,11,11,44,241,10604,94,0.0001599000024725683,0.009966700003133155,2297.1796875,vanilla
159,15.9,10,10,40,241,9640,101,0.0001281000004382804,0.009117599998717196,2297.19140625,vanilla
160,16.0,11,11,44,241,10604,108,0.00014930000179447234,0.01005260000238195,2297.19921875,vanilla
161,16.1,11,11,44,241,10604,120,0.0001610000035725534,0.010051100005512126,2297.2109375,vanilla
162,16.2,11,11,44,241,10604,137,0.00017880000086734071,0.010013899998739362,2297.21484375,vanilla
163,16.3,11,11,44,241,10604,165,0.00014139999984763563,0.010059599997475743,2297.2265625,vanilla
164,16.4,11,11,44,241,10604,201,0.00014009999722475186,0.010033700003987178,2297.23046875,vanilla
165,16.5,10,10,40,241,9640,201,0.00012589999823831022,0.009228000002622139,2297.234375,vanilla
166,16.6,11,11,44,241,10604,173,0.00015859999984968454,0.009993199993914459,2297.23828125,vanilla
167,16.7,11,11,44,241,10604,101,0.00013299999409355223,0.01013999999850057,2297.23828125,vanilla
168,16.8,11,11,44,241,10604,105,0.00021600000036414713,0.010017300002800766,2297.23828125,vanilla
169,16.9,11,11,44,241,10604,111,0.00014409999857889488,0.009932100001606159,2297.23828125,vanilla
170,17.0,11,11,44,241,10604,117,0.00014519999967887998,0.009965099998225924,2297.23828125,vanilla
171,17.1,11,11,44,241,10604,126,0.00014060000103199854,0.010006299999076873,2297.23828125,vanilla
172,17.2,11,11,44,241,10604,152,0.00017330000264337286,0.010109700000612065,2297.24609375,vanilla
173,17.3,11,11,44,241,10604,167,0.00013439999747788534,0.010139199999684934,2297.24609375,vanilla
174,17.4,13,13,52,241,12532,164,0.00020940000104019418,0.011798200001067016,2297.24609375,vanilla
175,17.5,13,13,52,241,12532,143,0.00017619999562157318,0.011793300000135787,2297.24609375,vanilla
176,17.6,12,12,48,241,11568,118,0.00017799999477574602,0.010798999996040948,2297.25,vanilla
177,17.7,12,12,48,241,11568,105,0.00017549999756738544,0.010873699997318909,2297.25,vanilla
178,17.8,12,12,48,241,11568,116,0.0001508999994257465,0.011030800000298768,2297.25,vanilla
179,17.9,12,12,48,241,11568,128,0.00019600000086938962,0.010827699996298179,2297.25390625,vanilla
180,18.0,11,11,44,241,10604,147,0.0001357000001007691,0.010046600000350736,2297.25390625,vanilla
181,18.1,11,11,44,241,10604,176,0.0001846999948611483,0.010149099995032884,2297.25390625,vanilla
182,18.2,11,11,44,241,10604,195,0.00017519999528303742,0.009831900002609473,2297.26171875,vanilla
183,18.3,11,11,44,241,10604,176,0.00014689999807160348,0.00988159999542404,2297.26171875,vanilla
184,18.4,11,11,44,241,10604,136,0.00016680000408086926,0.010259800001222175,2297.26171875,vanilla
185,18.5,11,11,44,241,10604,70,0.00018249999993713573,0.009882300000754185,2297.26953125,vanilla
186,18.6,11,11,44,241,10604,70,0.00014879999798722565,0.009879500001261476,2297.27734375,vanilla
187,18.7,11,11,44,241,10604,69,0.00013499999477062374,0.0100486999945133,2297.28515625,vanilla
188,18.8,11,11,44,241,10604,69,0.00013349999790079892,0.011144100004457869,2297.28515625,vanilla
189,18.9,11,11,44,241,10604,69,0.00018390000332146883,0.009925500002282206,2297.296875,vanilla
190,19.0,11,11,44,241,10604,70,0.00013939999917056412,0.009911399996781256,2297.3125,vanilla
191,19.1,10,10,40,241,9640,70,0.00013749999925494194,0.009053000001586042,2297.3203125,vanilla
192,19.2,11,11,44,241,10604,70,0.00017210000078193843,0.010761599995021243,2297.328125,vanilla
193,19.3,10,10,40,241,9640,69,0.00018490000366000459,0.009107300000323448,2297.33203125,vanilla
194,19.4,11,11,44,241,10604,69,0.00015939999866532162,0.00986189999821363,2297.33203125,vanilla
195,19.5,11,11,44,241,10604,69,0.00013919999764766544,0.009967199999664444,2297.33203125,vanilla
196,19.6,11,11,44,241,10604,69,0.000149500003317371,0.009823200001846999,2297.33984375,vanilla
197,19.7,11,11,44,241,10604,71,0.00014829999417997897,0.009831299998040777,2297.34375,vanilla
198,19.8,11,11,44,241,10604,71,0.00012959999730810523,0.009894999995594844,2297.34765625,vanilla
199,19.9,10,10,40,241,9640,71,0.00014340000052470714,0.009191900004225317,2297.34765625,vanilla
200,20.0,10,10,40,241,9640,71,0.00016619999951217324,0.009060200005478691,2297.3515625,vanilla
201,20.1,10,10,40,241,9640,69,0.000137999995786231,0.009025100000144448,2297.35546875,vanilla
202,20.2,10,10,40,241,9640,69,0.00011999999696854502,0.009195400001772214,2297.35546875,vanilla
203,20.3,10,10,40,241,9640,69,0.00014650000230176374,0.009004100000311155,2297.359375,vanilla
204,20.4,10,10,40,241,9640,69,0.00011870000162161887,0.008955899997090455,2297.359375,vanilla
205,20.5,10,10,40,241,9640,69,0.00014240000018617138,0.009081800002604723,2297.359375,vanilla
206,20.6,10,10,40,241,9640,84,0.00014670000382466242,0.00898109999980079,2297.359375,vanilla
207,20.7,10,10,40,241,9640,85,0.0001269999993382953,0.00901529999828199,2297.359375,vanilla
208,20.8,10,10,40,241,9640,88,0.00017099999968195334,0.009112100000493228,2297.3671875,vanilla
209,20.9,10,10,40,241,9640,91,0.00014709999959450215,0.008885099996405188,2297.3671875,vanilla
210,21.0,10,10,40,241,9640,95,0.00011839999933727086,0.00902440000209026,2297.3671875,vanilla
211,21.1,10,10,40,241,9640,100,0.00015300000086426735,0.009025300001667347,2297.3671875,vanilla
212,21.2,10,10,40,241,9640,106,0.00012290000449866056,0.009015399999043439,2297.3671875,vanilla
213,21.3,10,10,40,241,9640,114,0.00012510000669863075,0.00885289999860106,2297.3671875,vanilla
214,21.4,10,10,40,241,9640,126,0.00011979999544564635,0.00915289999829838,2297.37109375,vanilla
215,21.5,10,10,40,241,9640,143,0.0001762000028975308,0.008925399997679051,2297.375,vanilla
216,21.6,10,10,40,241,9640,170,0.0001289000065298751,0.009466200004681014,2297.375,vanilla
217,21.7,10,10,40,241,9640,198,0.0001429999974789098,0.009322500001871958,2297.375,vanilla
218,21.8,10,10,40,241,9640,183,0.00014030000602360815,0.009067499995580874,2297.37890625,vanilla
219,21.9,10,10,40,241,9640,152,0.00012450000212993473,0.0101890999940224,2297.37890625,vanilla
220,22.0,10,10,40,241,9640,83,0.00014769999688724056,0.009282600003643893,2297.3828125,vanilla
221,22.1,10,10,40,241,9640,68,0.0001674999948590994,0.009177400002954528,2297.3828125,vanilla
222,22.2,10,10,40,241,9640,68,0.00019149999570799991,0.009087200000067241,2297.3828125,vanilla
223,22.3,11,11,44,241,10604,74,0.00014039999950909987,0.009810600000491831,2297.390625,vanilla
224,22.4,11,11,44,241,10604,84,0.0001331999956164509,0.01001420000102371,2297.390625,vanilla
225,22.5,11,11,44,241,10604,87,0.00015310000162571669,0.009868000001006294,2297.39453125,vanilla
226,22.6,11,11,44,241,10604,90,0.00015469999925699085,0.009834600001340732,2297.39453125,vanilla
227,22.7,11,11,44,241,10604,93,0.00015469999925699085,0.009940800002368633,2297.39453125,vanilla
228,22.8,11,11,44,241,10604,99,0.00015939999866532162,0.0099465000021155,2297.39453125,vanilla
